Topic	Count	Name	Representation
-1	60390	-1_temps_yeux_tête_femme	['temps', 'yeux', 'tête', 'femme', 'chose', 'voix', 'porte', 'fit', 'air', 'voir']
0	1820	0_pouvais_sentais_savais_mère	['pouvais', 'sentais', 'savais', 'mère', 'porte', 'temps', 'chose', 'voyais', 'père', 'corps']
1	1113	1_jirel_yeux_visage_corps	['jirel', 'yeux', 'visage', 'corps', 'lumière', 'eau', 'cheveux', 'femme', 'tête', 'jambes']
2	895	2_dis_pouvais_chose_savais	['dis', 'pouvais', 'chose', 'savais', 'yeux', 'mère', 'voulais', 'tête', 'envie', 'voir']
3	889	3_corps_yeux_visage_mains	['corps', 'yeux', 'visage', 'mains', 'tête', 'coup', 'jambes', 'fit', 'gauche', 'cheveux']
4	753	4_docteur_médecin_dr_infirmière	['docteur', 'médecin', 'dr', 'infirmière', 'clinique', 'régine', 'malade', 'hôpital', 'lherbier', 'médecins']
5	518	5_bateau_eau_navire_pont	['bateau', 'eau', 'navire', 'pont', 'poissons', 'vent', 'sable', 'bord', 'vagues', 'coque']
6	507	6_chiens_kehlweiler_akrèn_animal	['chiens', 'kehlweiler', 'akrèn', 'animal', 'porte', 'tête', 'bête', 'sukie', 'yeux', 'dogtinder']
7	476	7_planète_espace_cemp_terre	['planète', 'espace', 'cemp', 'terre', 'planètes', 'beyle', 'silkies', 'vaisseau', 'système', 'orbite']
8	431	8_mère_savait_père_ans	['mère', 'savait', 'père', 'ans', 'femme', 'aimait', 'jour', 'voulait', 'faisait', 'enfants']
9	388	9_voiture_route_chauffeur_camion	['voiture', 'route', 'chauffeur', 'camion', 'volant', 'voitures', 'véhicule', 'conducteur', 'arrière', 'portière']
10	366	10_murs_château_fenêtres_mur	['murs', 'château', 'fenêtres', 'mur', 'étage', 'porte', 'maison', 'rue', 'entrée', 'maisons']
11	359	11_cigarette_cigarettes_fumée_tabac	['cigarette', 'cigarettes', 'fumée', 'tabac', 'paquet', 'fume', 'fumer', 'alluma', 'dis', 'cigare']
12	350	12_livre_livres_littérature_auteur	['livre', 'livres', 'littérature', 'auteur', 'écrire', 'écrivain', 'œuvre', 'écrit', 'lecteur', 'lire']
13	320	13_bureau_police_femme_heures	['bureau', 'police', 'femme', 'heures', 'porte', 'commissaire', 'téléphone', 'demanda', 'secrétaire', 'lettre']
14	266	14_mariage_épouser_femme_divorce	['mariage', 'épouser', 'femme', 'divorce', 'veux', 'enfants', 'mariés', 'besoin', 'épouse', 'mieux']
15	256	15_catlin_dieux_chinois_bronzes	['catlin', 'dieux', 'chinois', 'bronzes', 'tzu', 'congrès', 'qin', 'lusitania', 'flotte', 'démosthène']
16	253	16_arbres_arbre_forêt_fleurs	['arbres', 'arbre', 'forêt', 'fleurs', 'feuilles', 'branches', 'plantes', 'terre', 'racines', 'champignons']
17	230	17_calife_tèmudjin_maître_abassa	['calife', 'tèmudjin', 'maître', 'abassa', 'djamouqa', 'qasar', 'toghril', 'palais', 'kèrèit', 'merkit']
18	222	18_bataillon_biên_diên biên_diên	['bataillon', 'biên', 'diên biên', 'diên', 'viets', 'parachutistes', 'compagnie', 'lieutenant', 'légionnaires', 'pc']
19	218	19_desprats_cité_appartement_garlonne	['desprats', 'cité', 'appartement', 'garlonne', 'séréna', 'ostrer', 'vraiment', 'wishman', 'demanda', 'regarde']
20	216	20_allemands_français_russes_armée	['allemands', 'français', 'russes', 'armée', 'française', 'général', 'allemand', 'lacenaire', 'révolution', 'ministre']
21	214	21_mort_humains_âme_faut	['mort', 'humains', 'âme', 'faut', 'vivre', 'chose', 'humanité', 'science', 'êtres', 'société']
22	208	22_mère_père_parents_dis	['mère', 'père', 'parents', 'dis', 'veux', 'enfants', 'besoin', 'faucon', 'choses', 'ans']
23	181	23_jésus_objets objets_seigneur_dieux	['jésus', 'objets objets', 'seigneur', 'dieux', 'kernik', 'père', 'jérusalem', 'maligou', 'objets', 'prêtre']
24	169	24_seagull_moonbird_oiseau_ailes	['seagull', 'moonbird', 'oiseau', 'ailes', 'skiz', 'birdlip', 'oiseaux', 'baccarat', 'dragon', 'insecte']
25	155	25_tibbie_diggan_miramonte_abuelita	['tibbie', 'diggan', 'miramonte', 'abuelita', 'soso', 'rawley', 'valoria', 'huff', 'ganaderia', 'mexicain']
26	148	26_train_gare_voyageurs_métro	['train', 'gare', 'voyageurs', 'métro', 'quai', 'wagons', 'wagon', 'station', 'trains', 'compartiment']
27	145	27_étrangleur_morganna_cass_kantana	['étrangleur', 'morganna', 'cass', 'kantana', 'devane', 'yassif', 'pygmées', 'brauxton', 'lieutenant', 'femme']
28	143	28_commissaire_dancourt_inspecteur_police	['commissaire', 'dancourt', 'inspecteur', 'police', 'fassio', 'policier', 'enquête', 'boulle', 'dab', 'shérif']
29	141	29_michèle_braden_usine_armstead	['michèle', 'braden', 'usine', 'armstead', 'caporal', 'technic', 'fuentès', 'trader', 'makaire bleu', 'makaire']
30	140	30_kif_pyanfar_jik_sikkukkut	['kif', 'pyanfar', 'jik', 'sikkukkut', 'hakkikt', 'mahendo', 'dieux', 'chanur', 'hilfy', 'haral']
31	130	31_brumbaugh_bétail_ranch_seccombe	['brumbaugh', 'bétail', 'ranch', 'seccombe', 'venneford', 'betteraves', 'centennial', 'éleveurs', 'terre', 'skimmerhorn']
32	130	32_lieutenant_capitaine_cops_commandant	['lieutenant', 'capitaine', 'cops', 'commandant', 'officier', 'chef', 'sanselme', 'général', 'fantin', 'gouverneur']
33	128	33_femmes_femme_hommes_conaire	['femmes', 'femme', 'hommes', 'conaire', 'amazones', 'veux', 'faut', 'mecs', 'féministes', 'filles']
34	128	34_avocat_procès_jurés_tribunal	['avocat', 'procès', 'jurés', 'tribunal', 'président', 'magistrat', 'affaire', 'audience', 'step', 'témoin']
35	120	35_porte_escalier_marches_ascenseur	['porte', 'escalier', 'marches', 'ascenseur', 'baher', 'ouvrit', 'couloir', 'mur', 'corridor', 'immeuble']
36	116	36_walt_hôpital_police_demanda	['walt', 'hôpital', 'police', 'demanda', 'phéronomes', 'triss', 'fit', 'type', 'regarda', 'murmura']
37	111	37_clément_bejardy_sécateur_brossier	['clément', 'bejardy', 'sécateur', 'brossier', 'pouchet', 'type', 'tchik', 'vandoosler', 'vauquer', 'bonnot']
38	107	38_bouteille_sukie_verre_bière	['bouteille', 'sukie', 'verre', 'bière', 'bouteilles', 'tooley', 'verres', 'boire', 'alcool', 'table']
39	106	39_président_rossinante_ministre_darnish	['président', 'rossinante', 'ministre', 'darnish', 'hulvey', 'gouverneur', 'présidente', 'politique', 'packer', 'busheïn']
40	99	40_aimer_frédi_fouldroule_veux	['aimer', 'frédi', 'fouldroule', 'veux', 'amoureuse', 'dis', 'vivre', 'sentiments', 'tooley', 'cœur']
41	96	41_redcloud_jiggs_navajo_zhdanov	['redcloud', 'jiggs', 'navajo', 'zhdanov', 'mère', 'weaver', 'mister jiggs', 'sourire', 'indienne', 'vieille']
42	95	42_chambers_scorpion_barlow_léonid	['chambers', 'scorpion', 'barlow', 'léonid', 'prit', 'désir', 'veux', 'voulut', 'chambre', 'voiture']
43	93	43_nessie_brockmeier_plani_matthews	['nessie', 'brockmeier', 'plani', 'matthews', 'sonar', 'finch', 'inverness', 'regarda', 'objet', 'chambre']
44	92	44_dollars_veux_banque_millions	['dollars', 'veux', 'banque', 'millions', 'somme', 'schots', 'payer', 'demande', 'frais', 'leonards']
45	91	45_glace_vent_froid_glacé	['glace', 'vent', 'froid', 'glacé', 'flocons', 'vent glacé', 'tempête', 'nuit', 'woji', 'traces']
46	89	46_gretly_nichols_winesong_géraldine	['gretly', 'nichols', 'winesong', 'géraldine', 'bouloche', 'loney', 'snow', 'newcastle', 'cauldron', 'convent']
47	88	47_rhada_prisko_djinnih_soldat	['rhada', 'prisko', 'djinnih', 'soldat', 'nomade', 'tribu', 'camions', 'yané', 'boïdus', 'nomades']
48	87	48_chats_cathau_cabusse_animal	['chats', 'cathau', 'cabusse', 'animal', 'lorque', 'yeux', 'gahl', 'catlin', 'gold', 'torpille']
49	86	49_heures_demain_semaine_pouvais	['heures', 'demain', 'semaine', 'pouvais', 'matin', 'viens', 'heure', 'choses', 'valupeyk', 'apporte traductions']
50	85	50_radley_matthews_mère_raventhorpe	['radley', 'matthews', 'mère', 'raventhorpe', 'fit', 'bowland', 'ravensdale', 'garçons', 'oddie', 'vacances']
51	82	51_andré_edmée_méry_andrek	['andré', 'edmée', 'méry', 'andrek', 'félicien', 'gosses', 'gosse', 'andré regarda', 'demanda andré', 'couillon']
52	81	52_mcginnis_mme_shamus_femme	['mcginnis', 'mme', 'shamus', 'femme', 'sénateur', 'prit', 'irlandais', 'mme manchester', 'lança', 'lèvres']
53	80	53_meurtre_assassin_dover bowers_bowers	['meurtre', 'assassin', 'dover bowers', 'bowers', 'meurtrier', 'dover', 'crime', 'thayer', 'criminel', 'baumann']
54	78	54_professeur_école_élèves_étudiants	['professeur', 'école', 'élèves', 'étudiants', 'lycée', 'classe', 'professeurs', 'fredrika', 'année', 'étudiant']
55	77	55_chrétiens_turcs_soldats_soldats chrétiens	['chrétiens', 'turcs', 'soldats', 'soldats chrétiens', 'hommes', 'pèlerins', 'fleuve', 'père ascelin', 'ascelin', 'troupes']
56	76	56_éditions_igr 10_igr_fiction	['éditions', 'igr 10', 'igr', 'fiction', 'inédit', 'science fiction', 'marabout', '10', 'traduction française', 'collection']
57	75	57_neille_keys_weller_murmura	['neille', 'keys', 'weller', 'murmura', 'moxo', 'riposta', 'steinhardt', 'vraiment', 'regarda', 'colère']
58	75	58_peinture_peintre_tableaux_peintres	['peinture', 'peintre', 'tableaux', 'peintres', 'artiste', 'peindre', 'portrait', 'tableau', 'œuvres', 'malmora']
59	73	59_sénateur_larkspur_kinkaid_khazar	['sénateur', 'larkspur', 'kinkaid', 'khazar', 'chérie', 'mère', 'tchartoff', 'daldrin', 'père', 'garçon']
60	72	60_verre_verres_boire_pudding	['verre', 'verres', 'boire', 'pudding', 'mme cipolla', 'cipolla', 'tasse', 'thé', 'grindley', 'irène']
61	67	61_yudel_weizmann_majola_thandi	['yudel', 'weizmann', 'majola', 'thandi', 'boutique', 'nieuwenhuysen', 'hymie', 'muntu', 'yudel savait', 'johannesburg']
62	67	62_danfield_femme_murmura_regard	['danfield', 'femme', 'murmura', 'regard', 'présent', 'désir', 'compagnon', 'lorsqu', 'colère', 'compagne']
63	67	63_hulann_kanin_corps_construct	['hulann', 'kanin', 'corps', 'construct', 'fouldroule', 'couleur', 'poils', 'calligraphe', 'yeux', 'stratten']
64	67	64_kg_gerfaut_pain_café	['kg', 'gerfaut', 'pain', 'café', 'bière', 'repas', 'salade', 'jambon', 'kaltz', 'secrétaire etat']
65	66	65_adèle_escudier_sourire_lèvres	['adèle', 'escudier', 'sourire', 'lèvres', 'littlefield', 'murmura', 'amoureux', 'bouche', 'doucement', 'yeux']
66	66	66_morsi_viking_saunders_déclara	['morsi', 'viking', 'saunders', 'déclara', 'spécimen', 'drakkar', 'magnusson', 'poitrine', 'tête', 'nei']
67	65	67_cheval_chevaux_djinnih_galop	['cheval', 'chevaux', 'djinnih', 'galop', 'cavalière', 'sabots', 'bagrin', 'cible', 'selle', 'banshee']
68	65	68_michaël_bogie_nouvelle orléans_orléans	['michaël', 'bogie', 'nouvelle orléans', 'orléans', 'bungalow', 'femme', 'casbah', 'pourtant', 'accident', 'porte']
69	64	69_whitewell_mariage_corla_métilde	['whitewell', 'mariage', 'corla', 'métilde', 'novinha', 'femme', 'lettre', 'cholen', 'allait', 'aimait']
70	63	70_baiser_lèvres_embrasser_murmura	['baiser', 'lèvres', 'embrasser', 'murmura', 'bouche', 'étreinte', 'désir', 'corps', 'qaasi', 'embrassa']
71	63	71_agnès_gimlet_sœur_intermezzo	['agnès', 'gimlet', 'sœur', 'intermezzo', 'pouvais', 'dis', 'lorenzaccio', 'montre', 'élèves', 'voulais']
72	63	72_juifs_juif_israël_rabbi	['juifs', 'juif', 'israël', 'rabbi', 'raverdy', 'rabbin', 'juive', 'israël raverdy', 'egypte', 'hérode']
73	61	73_baroda_jath_jath baroda_moscou	['baroda', 'jath', 'jath baroda', 'moscou', 'chryse', 'vodka', 'tabasco', 'comlink', 'hallingkar', 'adichka']
74	59	74_freetime_gwener_ostrogot_pouvais	['freetime', 'gwener', 'ostrogot', 'pouvais', 'madère', 'aperth', 'savais', 'exéquateur', 'regardé', 'murillo']
75	59	75_finch_quince_tibbett_goodman	['finch', 'quince', 'tibbett', 'goodman', 'smeed', 'macey', 'hamstone', 'inspecteur', 'bingham', 'commissaire']
76	59	76_sandorf_nadiège_stéphane_owemberg	['sandorf', 'nadiège', 'stéphane', 'owemberg', 'précepteur', 'winsky', 'régent', 'volnie', 'astianof', 'pétrow']
77	59	77_hallingkar_poona_pd_daïren	['hallingkar', 'poona', 'pd', 'daïren', 'mmi', 'uelil', 'félicien', 'planteur', 'jumbo', 'œufs œufs']
78	59	78_abri_flanagan_murmura_toit	['abri', 'flanagan', 'murmura', 'toit', 'maisonnette', 'demanda', 'cabane', 'lorsqu', 'envie', 'bière']
79	59	79_brago_gato_rutledge_tombstone	['brago', 'gato', 'rutledge', 'tombstone', 'cheval', 'rancho', 'ranch', 'gato negro', 'negro', 'cass']
80	57	80_cutter_skidmore_greenville_sœur	['cutter', 'skidmore', 'greenville', 'sœur', 'vaches', 'argyle', 'écurie', 'indemnité', 'bêtes', 'femme']
81	56	81_chambre_marylène_porte_joëlle	['chambre', 'marylène', 'porte', 'joëlle', 'nuit', 'cuisine', 'sommeil', 'réveilla', 'bruit', 'ouvrit']
82	55	82_manilo_corrio_viételli_hanse	['manilo', 'corrio', 'viételli', 'hanse', 'ommach', 'desprats', 'halter', 'cité', 'ostrer', 'regarde']
83	55	83_rhéa_devlin_kilconnell_bouviers	['rhéa', 'devlin', 'kilconnell', 'bouviers', 'cessna', 'rhéa cormack', 'maclver', 'cormack', 'voulait', 'sébastian']
84	54	84_ingold_lohiro_sorcier_ténébreux	['ingold', 'lohiro', 'sorcier', 'ténébreux', 'archimage', 'quo', 'bâton', 'vieil', 'lngold', 'sorciers']
85	53	85_cerveau_cerveaux_système_transplantation	['cerveau', 'cerveaux', 'système', 'transplantation', 'intelligence', 'organique', 'synapses', 'anticorps', 'cellules', 'organes']
86	53	86_persval_clergyman_hellroy_thuriot	['persval', 'clergyman', 'hellroy', 'thuriot', 'twern', 'parrish', 'garrec', 'devait', 'amis scientes', 'whit']
87	52	87_beeding_répondit_sûre_répliqua	['beeding', 'répondit', 'sûre', 'répliqua', 'robe', 'femme', 'mère', 'kellogg', 'dîner', 'hôtesse']
88	52	88_guitare_musique_madé_piano	['guitare', 'musique', 'madé', 'piano', 'danse', 'jarisme', 'musiciens', 'orchestre', 'salieri', 'watch']
89	52	89_miloz_ambassadeur_pepperdine_rembrandt	['miloz', 'ambassadeur', 'pepperdine', 'rembrandt', 'voix', 'caria', 'sourire', 'desprès', 'jansen', 'demanda']
90	51	90_yudel_ptorn_crack_bross	['yudel', 'ptorn', 'crack', 'bross', 'weizmann', 'rooney', 'chapeau pardessus', 'aamma', 'allez', 'sadève']
91	51	91_terrasse_cemp_jern_townsend	['terrasse', 'cemp', 'jern', 'townsend', 'savait', 'pyaung', 'piège', 'affer', 'nollet', 'images']
92	49	92_scalia_courcelles_camping_exclama	['scalia', 'courcelles', 'camping', 'exclama', 'assura', 'demanda', 'congrès', 'clinique', 'bureau accueil', 'caravane']
93	49	93_regarda_fit_campement_ciré	['regarda', 'fit', 'campement', 'ciré', 'répondit', 'chandail', 'pistolet', 'demanda', 'fileni', 'poncho']
94	49	94_mélanie_cartolucci_père_enquête	['mélanie', 'cartolucci', 'père', 'enquête', 'dossier', 'police', 'voiture', 'mathers', 'bureau', 'scandura']
95	48	95_burrow_merriman_manoir_developers	['burrow', 'merriman', 'manoir', 'developers', 'atlantic developers', 'atlantic', 'barkeley', 'waters', 'domaine', 'rand']
96	48	96_akrèn_ennian_gogleth_nédan	['akrèn', 'ennian', 'gogleth', 'nédan', 'taor', 'sieur', 'rojfessa', 'chaman', 'baltagui', 'dogmæl']
97	47	97_bébé_mariage_femme_walsh	['bébé', 'mariage', 'femme', 'walsh', 'cœur', 'baiser', 'tendrement', 'ventre', 'larmes', 'répéta']
98	45	98_incendiaire_émission_michaëls_palm beach	['incendiaire', 'émission', 'michaëls', 'palm beach', 'palm', 'beach', 'présent', 'besoin', 'policier', 'voulait']
99	45	99_corps_âmâme_corps ouvriers_capitano	['corps', 'âmâme', 'corps ouvriers', 'capitano', 'tenues', 'visages', 'jakt', 'vivants', 'âme', 'objets']
100	45	100_howe_aveyard_constable_poulain	['howe', 'aveyard', 'constable', 'poulain', 'foote', 'colliers', 'assistant shérif', 'superintendent', 'knep', 'régisseur']
101	45	101_porte_escalier_chambre_ouvrit	['porte', 'escalier', 'chambre', 'ouvrit', 'murdoch', 'skidmore', 'étage', 'aimée', 'femme', 'cuisine']
102	44	102_tatav_luda_jov_rakoff	['tatav', 'luda', 'jov', 'rakoff', 'harmonium', 'buissonnets', 'lunora', 'bossard', 'crés', 'réfectoire']
103	43	103_bataillon_pc_viets_légionnaires	['bataillon', 'pc', 'viets', 'légionnaires', 'bigeard', 'artillerie', 'lieutenant', 'langlais', 'assaut', 'officiers']
104	43	104_krug_watchman_krug krug_spaulding	['krug', 'watchman', 'krug krug', 'spaulding', 'androïdes', 'vargas', 'transmat', 'alphas', 'androïde', 'cuve']
105	43	105_papier_cagliostro_farmer_titre	['papier', 'cagliostro', 'farmer', 'titre', 'audiat', 'titres', 'journal', 'journaux', 'yudel', 'écriture']
106	42	106_riant_chandail_retourna_fit	['riant', 'chandail', 'retourna', 'fit', 'ciseaux', 'sourit', 'souffla', 'ramassa', 'embrassa', 'rire']
107	42	107_musiciens_baroda_musique_houwa	['musiciens', 'baroda', 'musique', 'houwa', 'velasquo', 'chef piste', 'tables', 'sanguinetto', 'orchestre', 'harid']
108	42	108_rue_ansart_boulevard_café	['rue', 'ansart', 'boulevard', 'café', 'hôtel', 'soir', 'himes', 'quartier', 'tournon', 'restaurant']
109	42	109_archim_gouvernement_politique_aragonès	['archim', 'gouvernement', 'politique', 'aragonès', 'senfout', 'général', 'edijha', 'parti', 'beyle', 'japcase']
110	42	110_sindbad_hardesty_foxgrove_geste	['sindbad', 'hardesty', 'foxgrove', 'geste', 'regard', 'écuries', 'sourire', 'phéronomes', 'deluth', 'cheval']
111	41	111_jument_femme_deaton_geste	['jument', 'femme', 'deaton', 'geste', 'voulait', 'grange', 'regard', 'pourtant', 'sentait', 'cœur']
112	41	112_père_rendall_sambro_enfants	['père', 'rendall', 'sambro', 'enfants', 'certificat naissance', 'péché', 'classe', 'naissance', 'parents', 'mère']
113	41	113_sammel_larkin_bartell_darryn	['sammel', 'larkin', 'bartell', 'darryn', 'wyndom', 'machine', 'machine remonter', 'machine remonter temps', 'sentit', 'remonter temps']
114	40	114_étang_sills_80 100_mots croisés	['étang', 'sills', '80 100', 'mots croisés', 'ans', 'irthia', 'enfermé', 'deucalio', 'mue', 'wishman']
115	40	115_bascus_madu_bailea_flic	['bascus', 'madu', 'bailea', 'flic', 'police', 'vagabond', 'mellors', 'haymann', 'policier', 'cruiser']
116	39	116_catlin_bronzes_qin_donnel	['catlin', 'bronzes', 'qin', 'donnel', 'danner', 'taïwan', 'conducteur qin', 'oncle', 'conducteur', 'chinois']
117	38	117_odeur_odeurs_parfum_gozals	['odeur', 'odeurs', 'parfum', 'gozals', 'parfums', 'biltine', 'petitjean', 'sunapee', 'ivresse', 'souvenirs']
118	38	118_skinner_demande_huncie_dis	['skinner', 'demande', 'huncie', 'dis', 'veux', 'muirhead', 'pickering', 'anglaises', 'cloques', 'quelqu']
119	38	119_sugar_mattone_rizzio_pepper	['sugar', 'mattone', 'rizzio', 'pepper', 'froggy', 'mastragos', 'rizzio mattone', 'regarde', 'renner', 'winchester']
120	38	120_edmée_andré_consul_andré edmée	['edmée', 'andré', 'consul', 'andré edmée', 'bonnard', 'masselot', 'shanghaï', 'arquebuse', 'dorigen', 'styron']
121	38	121_clones_valleroy_génétique_génération	['clones', 'valleroy', 'génétique', 'génération', 'walt', 'gène', 'simes', 'gènes', 'pno', 'bactérie']
122	37	122_jambon_angèle_pain_raphaël	['jambon', 'angèle', 'pain', 'raphaël', 'légumes', 'affaire rèche', 'buizeness', 'steack poivre', 'mimizan', 'frites']
123	37	123_pistolet_revolver_skinner_balle	['pistolet', 'revolver', 'skinner', 'balle', 'carpenter', 'balles', 'calendar', 'baule', '45', 'bronski']
124	37	124_byram_accident_police_suicide	['byram', 'accident', 'police', 'suicide', 'suicidée', 'affee', 'whitcomb', 'enquête', 'conduisait', 'amersham']
125	37	125_avion_pilote_réacteurs_atterrissage	['avion', 'pilote', 'réacteurs', 'atterrissage', 'appareil', 'vitesse', 'hile', 'parachute', 'kilomètres', 'moteurs']
126	36	126_zorro nap_zorro_nap_calacan	['zorro nap', 'zorro', 'nap', 'calacan', 'tyran', 'faucon', 'sammel', 'torrez', 'syncope', 'réparaz']
127	36	127_mélissa_prénom_mcclain_mlle	['mélissa', 'prénom', 'mcclain', 'mlle', 'shipka', 'père', 'guinevère', 'voudrais', 'sourire', 'midi']
128	36	128_valérie_granget_archiduc_cécile	['valérie', 'granget', 'archiduc', 'cécile', 'sernine', 'françois', 'cyllirie', 'michèle', 'pierrou', 'thérèse']
129	36	129_shakespeare_carnivore_nicodème_limaces	['shakespeare', 'carnivore', 'nicodème', 'limaces', 'frédi', 'macbeth', 'crâne shakespeare', 'sentier', 'représentation', 'tubulure']
130	36	130_raphaële_oxan_cantor_vorst	['raphaële', 'oxan', 'cantor', 'vorst', 'donofrio', 'roditis', 'galettes', 'markusby', 'log', 'ethéré']
131	35	131_dumire_shérif_beckford_gribben	['dumire', 'shérif', 'beckford', 'gribben', 'morrington', 'smithtown', 'stringer', 'smiley', 'bernstein', 'découpeur']
132	35	132_cury_standish_cité_finch	['cury', 'standish', 'cité', 'finch', 'leader', 'wil', 'steiner', 'dieux', 'envahisseur', 'lire']
133	35	133_route_kilomètres_arbres_autoroute	['route', 'kilomètres', 'arbres', 'autoroute', 'voiture', 'chauffeur', 'récifs', 'ennian', 'paysage', 'pont']
134	34	134_torrez_paquelin_lanquetot_steinhardt	['torrez', 'paquelin', 'lanquetot', 'steinhardt', 'mme aubertet', 'felden', 'commissaire', 'teal', 'quertier', 'voiture']
135	34	135_bross_battysens_weller_szimak	['bross', 'battysens', 'weller', 'szimak', 'carenheim', 'népo', 'charboll', 'solnès', 'citizen', 'vinkler']
136	34	136_carnivore_nicodème_shakespeare_viande	['carnivore', 'nicodème', 'shakespeare', 'viande', 'bête', 'azna', 'tunnel', 'étang', 'serpent mâle', 'limaces']
137	33	137_garçon_regard_soudain_norwood	['garçon', 'regard', 'soudain', 'norwood', 'parles', 'femme', 'vraiment', 'rentrer', 'jalouses', 'vivre père']
138	33	138_élèves_dodd_moss_néfar	['élèves', 'dodd', 'moss', 'néfar', 'andouillette', 'surveillante', 'classe', 'lacayo', 'école', 'danaëlle']
139	33	139_ordinateur_écran_graceland_cassette	['ordinateur', 'écran', 'graceland', 'cassette', 'créature', 'sammel', 'machines', 'grandis', 'furst', 'ordinateurs']
140	33	140_sss_nodles_système solaire_solaire	['sss', 'nodles', 'système solaire', 'solaire', 'mec', 'ver sable', 'système', 'ver', 'sphère bureau', 'incultes']
141	33	141_centenier_tombaugh_épée_avancement	['centenier', 'tombaugh', 'épée', 'avancement', 'attendais', 'forestier', 'béatrix', 'mort sépare', 'hegel', 'grayswandir']
142	33	142_fleurs_sénateur_régine_stauminaup	['fleurs', 'sénateur', 'régine', 'stauminaup', 'feuilles', 'noires', 'boutons mandarins', 'jaunes', 'mme matchett', 'piscine']
143	33	143_frédi_grundwig_théâtre_administrateur	['frédi', 'grundwig', 'théâtre', 'administrateur', 'mme grundwig', 'acteur', 'banquier', 'danemark', 'ophélie', 'voiture']
144	33	144_beecher_heap_sukie_tabora	['beecher', 'heap', 'sukie', 'tabora', 'dogtinder', 'garnel', 'filby', 'yor', 'tribling', 'aérol']
145	32	145_fédor_plani_objet_flocon	['fédor', 'plani', 'objet', 'flocon', 'pettigrew', 'demander', 'poissons', 'mme wilkins', 'envie', 'œil moscou']
146	32	146_film_pubs_weller_cinéma	['film', 'pubs', 'weller', 'cinéma', 'producteur', 'cinématographique', 'chameau', 'tournage', 'publicité', 'bailor']
147	32	147_knudsen_quade_thayer_boland	['knudsen', 'quade', 'thayer', 'boland', 'silverdale', 'patients', 'chantier naval', 'naval', 'psychologue', 'demanda']
148	32	148_tenebrosa_amazones_amazone_comyn	['tenebrosa', 'amazones', 'amazone', 'comyn', 'terrienne', 'montray', 'margali', 'serment', 'hastur', 'guilde']
149	32	149_bayview_voiture_jaguar_disquette	['bayview', 'voiture', 'jaguar', 'disquette', 'voiture marron', 'osrek', 'wilcom', 'deely', 'ravisseurs', 'recouvré mémoire']
150	32	150_thérèse_françois_agnès_fiancé	['thérèse', 'françois', 'agnès', 'fiancé', 'lenno', 'épouser', 'joëlle', 'félicité', 'grenoble', 'mariage']
