Topic	Count	Name	Representation
151	32	151_babyphone_mère_matrix_laviolette	['babyphone', 'mère', 'matrix', 'laviolette', 'enfants', 'carista', 'ommach', 'bébé', 'tokyo', 'lucides']
152	31	152_jourdaine_béni_oï_oï tîkî	['jourdaine', 'béni', 'oï', 'oï tîkî', 'tîkî', 'mamette', 'saurien', 'concourle', 'ibère', 'terango']
153	31	153_toronado_fusil_joker_pouvais	['toronado', 'fusil', 'joker', 'pouvais', 'teele', 'springfield', 'ramsès', 'regardé', 'revolver', 'salaud']
154	31	154_môle_chef informations_ïî_warum	['môle', 'chef informations', 'ïî', 'warum', 'mongolo', 'flugman', 'mlle dupré', 'tatav', 'valleroy', 'klyd']
155	31	155_ewell_gribben_ryker_sirany	['ewell', 'gribben', 'ryker', 'sirany', 'groberg', 'vialles', 'mme groberg', 'greenford', 'framley', 'brandshaft']
156	31	156_virus_descolada_quara_pequeninos	['virus', 'descolada', 'quara', 'pequeninos', 'virus descolada', 'lusitania', 'varelse', 'humains', 'tuer', 'pouvons']
157	31	157_treuffais_gardella_baher_boltover	['treuffais', 'gardella', 'baher', 'boltover', 'bledd', 'pennaroya', 'xerox', 'blackie', 'copeau', 'poniachet']
158	30	158_roditis_santoliquido_persona_noyés	['roditis', 'santoliquido', 'persona', 'noyés', 'dybbouk', 'oncle', 'transplantation', 'persona oncle', 'donahy', 'hoptère']
159	30	159_englemont_gisèle_table orientation_chambre	['englemont', 'gisèle', 'table orientation', 'chambre', 'garage face', 'avenue', 'kirschner', 'cartaud', 'baden', 'valise']
160	29	160_aimline_seel_daym_ramane	['aimline', 'seel', 'daym', 'ramane', 'gelleï', 'ezaelle', 'ramanes', 'parthène', 'uelil', 'scientes']
161	29	161_bateau_gee_twain_eau	['bateau', 'gee', 'twain', 'eau', 'shrimp', 'cabine', 'barque', 'quai', 'périclès', 'prisko']
162	29	162_link_ballon_touré_barge	['link', 'ballon', 'touré', 'barge', 'corson', 'espace', 'étoiles', 'delten', 'cylindre', 'dimension']
163	29	163_manson_piggot_betts_babcock	['manson', 'piggot', 'betts', 'babcock', 'beckford', 'broadwaters', 'sills', 'véranda', 'phosphore', 'docteur']
164	29	164_mclaren_jeb_selway_grenier	['mclaren', 'jeb', 'selway', 'grenier', 'couteau', 'arche', 'shirt', 'lianes', 'couteau boucher', 'ténèbres']
165	28	165_éthel_sarramanga_strondberg_vargas	['éthel', 'sarramanga', 'strondberg', 'vargas', 'motxoteguy', 'krug', 'moxo', 'vitti', 'remercieras', 'delassane']
166	28	166_butron_kœlman_quipuzcoa_ventrée	['butron', 'kœlman', 'quipuzcoa', 'ventrée', 'père', 'lycée', 'brossier', 'comptable', 'quille', 'commissaire boulle']
167	28	167_nizan_salignac_césar_arrezzi	['nizan', 'salignac', 'césar', 'arrezzi', 'béarnais', 'lettre', 'maître', 'setter', 'béarn', 'orléans']
168	27	168_weller_franker_steinhardt_formation	['weller', 'franker', 'steinhardt', 'formation', 'transformationalisme', 'dollars', 'institut', 'moniteurs', 'bailor', 'séances']
169	27	169_valleroy_klyd_médiateur_simes	['valleroy', 'klyd', 'médiateur', 'simes', 'zeor', 'hrel', 'sectuib', 'nashmar', 'tentacules', 'imil']
170	27	170_gerfaut_drakhane_koreh_jahol	['gerfaut', 'drakhane', 'koreh', 'jahol', 'méry', 'flaming', 'fumette', 'darche', 'branche', 'douairière']
171	27	171_brouet_castelard_faradi_panthère	['brouet', 'castelard', 'faradi', 'panthère', 'château', 'gamin', 'roquois', 'valérie', 'dauffrat', 'épaule']
172	27	172_boamiens_boamien_ghéridanisol_lovdale	['boamiens', 'boamien', 'ghéridanisol', 'lovdale', 'domologiste', 'maître witz', 'witz', 'possédés', 'monser', 'déase']
173	27	173_lefleur_nims_pepperdine_black elk	['lefleur', 'nims', 'pepperdine', 'black elk', 'elk', 'lindstrom', 'hamlin', 'boggins', 'lampe', 'incendie']
174	27	174_avion_aéroport_passeport_danois	['avion', 'aéroport', 'passeport', 'danois', 'sern', 'chacal', 'hôtesse', 'valise', 'kowalski', 'signor']
175	27	175_kryn_orionis_universelia_phénix	['kryn', 'orionis', 'universelia', 'phénix', 'pensants', 'oiseau', 'gahn', 'evguenir', 'joyau', 'tivali']
176	27	176_griff_wolverton_murmura_investisseur	['griff', 'wolverton', 'murmura', 'investisseur', 'maison', 'white springs', 'cave', 'clenche', 'lança coup œil', 'escalier']
177	26	177_choulon_hülle_méry_voix	['choulon', 'hülle', 'méry', 'voix', 'mulé', 'grosse bête', 'brockmeier', 'briancourt', 'parut', 'sûr']
178	26	178_neille_moor_trenchard_mme moor	['neille', 'moor', 'trenchard', 'mme moor', 'répliqua', 'dschang', 'virus', 'cuillère', 'mère', 'sonnerie retentit']
179	26	179_séréna_saylor_oncle_gramps	['séréna', 'saylor', 'oncle', 'gramps', 'atwood', 'townsend', 'frère suppôt', 'programmeur', 'hobart', 'suppôt']
180	26	180_camier_parapluie_camier veux_camier camier	['camier', 'parapluie', 'camier veux', 'camier camier', 'hélène', 'loin camier', 'omni', 'conaire', 'camier faut', 'agent']
181	26	181_valérie_film_granget_acteurs	['valérie', 'film', 'granget', 'acteurs', 'césars', 'citizen', 'acteur', 'espionnage', 'films', 'cinéma']
182	26	182_cio_mme albici_mlle siltanen_albici	['cio', 'mme albici', 'mlle siltanen', 'albici', 'allez', 'siltanen', 'caria', 'stepford', 'saw', 'etje']
183	25	183_miroul_mcfee_lestandi_bretonnet	['miroul', 'mcfee', 'lestandi', 'bretonnet', 'table', 'rue', 'préjean', 'ouais savait', 'lathrop', 'latin']
184	25	184_revue_polska_auteur_chauve	['revue', 'polska', 'auteur', 'chauve', 'kürz', 'nourissier', 'varsovie', 'amis', 'envierges', 'rue envierges']
185	25	185_prêtre_puymartin_père_haguet	['prêtre', 'puymartin', 'père', 'haguet', 'cabusse', 'vandoosler', 'général terrazas', 'terrazas', 'abbé', 'évêque']
186	25	186_khamal_kroll_vorton_kleinsmidt	['khamal', 'kroll', 'vorton', 'kleinsmidt', 'kegan', 'inspecteur', 'schulze', 'facteur', 'ponik', 'norsworthy']
187	25	187_delten_vorst_plani_shuan	['delten', 'vorst', 'plani', 'shuan', 'closter', 'kort', 'gitamorn', 'gitamorn suul', 'suul', 'fratri']
188	25	188_fœtus_embryon_sperme_mère	['fœtus', 'embryon', 'sperme', 'mère', 'ommach', 'bébé', 'bébés', 'mères', 'ventre mère', 'naître']
189	24	189_congrès_ansibles_planète_congrès stellaire	['congrès', 'ansibles', 'planète', 'congrès stellaire', 'stellaire', 'dieux', 'lusitania', 'vaisseau', 'configuration', 'ansible']
190	24	190_jé_humirs_mox_410	['jé', 'humirs', 'mox', '410', 'humoks', 'humir', 'gerkanol', 'organe', '1000', 'cos']
191	24	191_jalak_lolli_donjon_aamma	['jalak', 'lolli', 'donjon', 'aamma', 'minalde', 'snel', 'gisèle', 'faucon glace', 'arbrerocs', 'isambour']
192	24	192_whittaker_climpson_findlater_murbles	['whittaker', 'climpson', 'findlater', 'murbles', 'budge', 'wimsey', 'cropper', 'tante', 'crow beach', 'crow']
193	24	193_hansel_mongolo_brouet_castelard	['hansel', 'mongolo', 'brouet', 'castelard', 'valérie', 'brossier', 'gamin', 'javelin', 'hansel brouet', 'cécile']
194	24	194_gazol_méry_porte wagon_profitendieu	['gazol', 'méry', 'porte wagon', 'profitendieu', 'quai', 'zoé', 'caloub', 'fredrika', 'phébé', 'consul']
195	23	195_malaussène_corrençon_cercaire_dolgorouki	['malaussène', 'corrençon', 'cercaire', 'dolgorouki', 'zabo', 'majesté', 'stojilkovicz', 'thérèse', 'flic', 'ponthard']
196	23	196_bundo_salindi_marakunda_raphaël	['bundo', 'salindi', 'marakunda', 'raphaël', 'range rover', 'range', 'rover', 'matope', 'batari', 'trafiquants']
197	23	197_valleroy_talhael_twern_klyd	['valleroy', 'talhael', 'twern', 'klyd', 'zeor', 'nashmar', 'andle', 'talolahti', 'sihtric', 'helvin']
198	23	198_quade_bossard_docteur bossard_boland	['quade', 'bossard', 'docteur bossard', 'boland', 'docteur', 'michaël', 'heures demie', 'demie', 'cavendish', 'aveyard']
199	23	199_robot_jenkins_saïz_nicodème	['robot', 'jenkins', 'saïz', 'nicodème', 'félix', 'wazi', 'carnivore', 'couac', 'stimulateur', 'rhésus']
200	23	200_pilon_scellés_labatti_banque	['pilon', 'scellés', 'labatti', 'banque', 'quimby', 'mourier', 'banques', 'slater', 'percepteur', 'chèque']
201	23	201_harkness_kif_jarid_kokody	['harkness', 'kif', 'jarid', 'kokody', 'jath', 'darzir', '404', 'furst', 'cluster', 'diaspad']
202	23	202_tuée_carnets_crowley_violences	['tuée', 'carnets', 'crowley', 'violences', 'femme réelle', 'bigger', 'merde merde', 'assassinat', 'halsey', 'meurtre']
203	23	203_loose_électriques_musée_sern	['loose', 'électriques', 'musée', 'sern', 'rue', 'jallud', 'méduse musée', 'caravane', 'cires', 'lumière']
204	23	204_42_trafic_vicars_buick	['42', 'trafic', 'vicars', 'buick', 'led', 'pirate', 'led zeppelin', 'zeppelin', '42 crew', 'crew']
205	22	205_daïren_noé_hulann_froid	['daïren', 'noé', 'hulann', 'froid', 'ladier', 'skis', 'zeltran', 'lohiro', 'lanières cuir', 'naoli']
206	22	206_cheval_skiath_soso_jument	['cheval', 'skiath', 'soso', 'jument', 'appelle cheval', 'manilo', 'baulino', 'chevaux', 'marcheret', 'demné']
207	22	207_leaper_vêtements_irv_leviticus leaper	['leaper', 'vêtements', 'irv', 'leviticus leaper', 'leviticus', 'tenue', 'chemise', 'ganimard', 'canot', 'cravate']
208	22	208_moïse_bricoleur_curedent_josephson	['moïse', 'bricoleur', 'curedent', 'josephson', 'puits', 'fourmilière', 'acromégalique', 'dundas', 'broncos', 'moïse sourit']
209	22	209_clones_frères_garçons_persona	['clones', 'frères', 'garçons', 'persona', 'rivière', 'minoterie', 'regarda', 'vallée', 'groupe', 'acquiesça']
210	22	210_fleurs_bohrt_fleuve noir_orchidée	['fleurs', 'bohrt', 'fleuve noir', 'orchidée', 'pissenlit', 'cécile', 'portugais', 'mandahar', 'fouldroule', 'fleuve']
211	22	211_pianos_quade_nimier_cercueil	['pianos', 'quade', 'nimier', 'cercueil', 'cimetière', 'nabounassar', 'kraken', 'pigmy', 'fœtus', 'morts vivants']
212	22	212_français_langue_latin_participe	['français', 'langue', 'latin', 'participe', 'chanteloup', 'graffigny', 'grec', 'gabrièle', 'verbes', 'moros']
213	22	213_arbres pères_disent_arbres_lumière	['arbres pères', 'disent', 'arbres', 'lumière', 'loin mers', 'pères', 'sable', 'tajo', 'branches', 'arbre']
214	22	214_okawho_rédemption_edius_arbres	['okawho', 'rédemption', 'edius', 'arbres', 'mont', 'vent', 'temen', 'incidentes', 'guettes agiles', 'guettes']
215	21	215_mccully_mlle_mme mccully_1989	['mccully', 'mlle', 'mme mccully', '1989', 'futur', 'mountainview', '1862', 'prospecteurs', 'larmes', 'evers']
216	21	216_gomina_noël_sœur_kimball	['gomina', 'noël', 'sœur', 'kimball', 'sapin', 'baiser', 'caribou', 'dollars', 'skis', 'boule']
217	21	217_taplin_veysey_meurtre_siméonidis	['taplin', 'veysey', 'meurtre', 'siméonidis', 'assassin', 'prétendument', 'raphaël', 'coupable', 'docteur stratton', 'adèle']
218	21	218_sbire_noséné_télévision_télé	['sbire', 'noséné', 'télévision', 'télé', 'science noire', 'miramion', 'médias', 'pinocchio', 'science', 'étranges créatures']
219	21	219_adolescent_mccrae_déteste déteste_desjardins	['adolescent', 'mccrae', 'déteste déteste', 'desjardins', 'voir père', 'pendleton', 'père', 'déteste', 'agréablement narines', 'écouta femme']
220	21	220_quara_plikt_jakt_philotes	['quara', 'plikt', 'jakt', 'philotes', 'mirtin', 'novinha', 'mourir', 'propres', 'vaisseau', 'aiûa']
221	21	221_science_machines_scientifique_citizen	['science', 'machines', 'scientifique', 'citizen', 'scientifiques', 'antéchrist', 'heptangle', 'siècle', 'laboratoire', 'culturellement']
222	21	222_swigert_pilote_zawech_haise	['swigert', 'pilote', 'zawech', 'haise', 'selmer', 'module', 'module commande', 'szellam', 'szellam ghur', 'ghur']
223	21	223_gramps_temporelle_porte temporelle_épée	['gramps', 'temporelle', 'porte temporelle', 'épée', 'larmes montaient yeux', 'bataille', 'montaient yeux', 'larmes montaient', 'sudiste', 'tissu']
224	21	224_rhada_louange_prisko_terre	['rhada', 'louange', 'prisko', 'terre', 'vaisseau vide', 'inspecteur bertholet', 'fleuve', 'royaume', 'enfers', 'bertholet']
225	21	225_boccherini_schumann_musique_opéra	['boccherini', 'schumann', 'musique', 'opéra', 'orengo', 'malibran', 'théâtre', 'clown', 'bannister', 'géricault']
226	21	226_bruder_pensionnat_agrippale_enfance	['bruder', 'pensionnat', 'agrippale', 'enfance', 'cécile bruder', 'goulade', 'métro', 'rue', 'vieille', 'poules oies']
227	21	227_michaelson_krauch_smitty_purdy	['michaelson', 'krauch', 'smitty', 'purdy', 'comptoir', 'bateau', 'veux remarier', 'veux', 'serveuses', 'ecoute']
228	20	228_jedith_ottiz_farkie_jov	['jedith', 'ottiz', 'farkie', 'jov', 'addim', 'médaillon', 'jedith jedith', 'dup', 'alféo', 'lière']
229	20	229_planètes_étoiles_inédit_planète	['planètes', 'étoiles', 'inédit', 'planète', 'étoile', 'galaxie', 'terre', 'guérin', 'années lumière', 'seigneur kampaku']
230	20	230_dragon_dragons_monseigneur_moonbird	['dragon', 'dragons', 'monseigneur', 'moonbird', 'bouffon', 'malibor', 'zalzan kavol', 'zalzan', 'kavol', 'chèvre']
231	20	231_prentiss_mme prentiss_tempest_mme	['prentiss', 'mme prentiss', 'tempest', 'mme', 'géante', 'carrisbeck', 'parsons', 'mme parsons', 'mère', 'mme tempest']
232	20	232_bélugas_seal_eisley_avion	['bélugas', 'seal', 'eisley', 'avion', 'têtes', 'flocons avoine', 'lèvres', 'vancouver', 'île', 'éveiller']
233	20	233_orlo_lilgin_jodell_megara	['orlo', 'lilgin', 'jodell', 'megara', 'savants', 'dictateur', 'ishkrin', 'cité communications', 'higenroth', 'bylol']
234	20	234_natchez_pr hyssop_hyssop_edmonds	['natchez', 'pr hyssop', 'hyssop', 'edmonds', 'boire', 'bouteille', 'garrison', 'pr', 'penthotal', 'verre']
235	20	235_anelo_boule_santardi_maxmo	['anelo', 'boule', 'santardi', 'maxmo', 'boule anelo', 'coffre', 'fit boule', 'côté anelo', 'bière', 'musicos']
236	20	236_huile_panne_bricoleur_pouvez ignorer	['huile', 'panne', 'bricoleur', 'pouvez ignorer', 'étrave', 'panne externe', 'moteur', 'station', 'eboe', 'pression']
237	20	237_séréna_lordy_laveuglant_flox	['séréna', 'lordy', 'laveuglant', 'flox', 'defeckmann', 'kehlweiler', 'butron', 'masters', 'dobel', 'bitchy']
238	19	238_poupée_poupées_mauffat_greublis	['poupée', 'poupées', 'mauffat', 'greublis', 'libellule', 'jouets', 'alêne', 'titou', 'poupée poupée', 'gosses']
239	19	239_mme albici_knackbusch_terre sautées_pommes terre sautées	['mme albici', 'knackbusch', 'terre sautées', 'pommes terre sautées', 'albici', 'meubles', 'mcgowan', 'chambre', 'sautées', 'confrère']
240	19	240_delahaye_martinov_hélène_gourdel	['delahaye', 'martinov', 'hélène', 'gourdel', 'galerie', 'réparaz', 'rue amsterdam', 'dépôts consignations', 'consignations', 'caisse dépôts consignations']
241	19	241_olbram_peterborough_toilettes_lecture	['olbram', 'peterborough', 'toilettes', 'lecture', 'offre ténèbres', 'futur', 'présent', 'cœur', 'laraire', 'ténèbres']
242	19	242_flaming_commandante_cluster_furst	['flaming', 'commandante', 'cluster', 'furst', 'gondelor', 'katzenstein', 'mclasky', 'ismur', 'stengel', 'parapropulseur']
243	19	243_broehm_innid_copeau_raphaële	['broehm', 'innid', 'copeau', 'raphaële', 'innid brennen', 'brennen', 'viard', 'multimate', 'système noétique', 'feintes']
244	19	244_thackeray_strychnine_boulettes_glacière	['thackeray', 'strychnine', 'boulettes', 'glacière', 'bardot', 'cru allait frapper', 'parenthèse', 'chasse eau', 'lavigie', 'cadeau']
245	19	245_totor_costermann_raphaële_herth	['totor', 'costermann', 'raphaële', 'herth', 'benitez', 'club', 'chinois', 'henekeys', 'tables', '252']
246	18	246_andré_poupi_andré regardait_naples	['andré', 'poupi', 'andré regardait', 'naples', 'demanda andré', 'leçon tir', 'gosses', 'couillon', 'demanda', 'andré demanda']
247	18	247_jirel_talhael_lumière_jent	['jirel', 'talhael', 'lumière', 'jent', 'noiroir', 'splendeur', 'nuit', 'évariste', 'étoiles', 'tonnerre']
248	18	248_tokyo_nagisa_vois yeux_burano	['tokyo', 'nagisa', 'vois yeux', 'burano', 'cantrell', 'jungle', 'aimaina', 'kimura', 'japonais', 'yasujiro']
249	18	249_roches_broken_rivière_construction	['roches', 'broken', 'rivière', 'construction', 'minéraux', 'bâtiments', 'jent', 'vaisseau stellaire', 'granité', 'edmée']
250	17	250_candidats_équipe bleue_équipe_dargel	['candidats', 'équipe bleue', 'équipe', 'dargel', 'fiches', 'manganèse', 'garett', 'murgatroyd', 'tourna', 'tests']
251	17	251_sandorf_bélonie_tentes_temudjin	['sandorf', 'bélonie', 'tentes', 'temudjin', 'vaches', 'stéphane', 'rhada', 'chevaux', 'forêt', 'blancheur']
252	17	252_robe_oklie_broche_oklie dodds	['robe', 'oklie', 'broche', 'oklie dodds', 'sulie', 'dodds', 'bazelle', 'fermoirs', 'pull', 'etait']
253	17	253_baumann_shaughnessy_robilliard_bâte	['baumann', 'shaughnessy', 'robilliard', 'bâte', 'inspecteur byram', 'présidente', 'rencontrer', 'byram', 'wexford', 'cares']
254	17	254_cholly_breedlove_mutin mutant_bidule	['cholly', 'breedlove', 'mutin mutant', 'bidule', 'dis', 'connaissons', 'mort lente', 'frédéric', 'luge', 'mutin']
255	17	255_jingles_grecs_follet lait vache_follet lait	['jingles', 'grecs', 'follet lait vache', 'follet lait', 'feu follet lait', 'larmes', 'revivre moments', 'fiancé', 'divorce', 'caresses']
256	17	256_burrow_comité_brandshaft_bradwell	['burrow', 'comité', 'brandshaft', 'bradwell', 'stochastique', 'avocat', 'faculté', 'abolitionnistes', 'procès', 'whitson']
257	17	257_lainie_spalding_atchinson_lainie yeux	['lainie', 'spalding', 'atchinson', 'lainie yeux', 'hilliker', 'mariage', 'mère', 'lainie regardait', 'glaciale', 'radley']
258	17	258_sandwich_verdhuren_michèle_raybaud	['sandwich', 'verdhuren', 'michèle', 'raybaud', 'wexford', 'crapule', 'mantoff', 'laviolette', 'ennemie numéro', 'novacek']
259	17	259_maestro_goussault_palachek_manenkov	['maestro', 'goussault', 'palachek', 'manenkov', 'goulade', 'hervé', 'trentin', 'mugnier', 'pâtissier', 'dancourt']
260	17	260_achron_argyropoulos_chauve_corson	['achron', 'argyropoulos', 'chauve', 'corson', 'assommait', 'foran', 'zôl', 'errull', 'zôls', 'guerres']
261	17	261_fortineau_romanov_méry_chanfond	['fortineau', 'romanov', 'méry', 'chanfond', 'brochette', 'stéphanie', 'keraij', 'rené', 'rodes', 'chanfond voix']
262	17	262_leguennec_vandoosler_beautés_jov	['leguennec', 'vandoosler', 'beautés', 'jov', 'enfer', 'créateur', 'sexe', 'hervé', 'tripatouiller', 'bretelle fusil']
263	17	263_piscine_geddes_beach_eau	['piscine', 'geddes', 'beach', 'eau', 'eivor', 'edmonds', 'sosso', 'ruiner santé', 'göran', 'fantin']
264	16	264_fantômes_fantôme_kalle_seyroles	['fantômes', 'fantôme', 'kalle', 'seyroles', 'airelles', 'cléo', 'léna', 'bérénice', 'vangeli', 'délia']
265	16	265_carvil_grande terre_vextase_djemine	['carvil', 'grande terre', 'vextase', 'djemine', 'pirates', 'île', 'pointus', 'véra', 'soldats japonais', 'soldats']
266	16	266_daym_aimline_seel_histrion	['daym', 'aimline', 'seel', 'histrion', 'confed', 'parthène', 'ezaelle', 'ssecem', 'aimlin', 'ramane']
267	16	267_cromwell_homett_hornett_gouverneur	['cromwell', 'homett', 'hornett', 'gouverneur', 'sucre orge', 'androbots', 'farfalou', 'photoïde', 'orge', 'momie']
268	16	268_viaduc_valjean_gare_périphérique	['viaduc', 'valjean', 'gare', 'périphérique', 'quartier', 'gerfaut', 'rue', 'sarazat', 'circulation', 'jov']
269	16	269_joëlle_régis_magnani_monter barque	['joëlle', 'régis', 'magnani', 'monter barque', 'moxo', 'raybaud', 'cantor', 'veux', 'combat zone', 'demandé pouvais']
270	16	270_garrison_hmm hmm_hmm_mariage	['garrison', 'hmm hmm', 'hmm', 'mariage', 'vraiment cas', 'sentit', 'croyez insista', 'prie', 'chérie', 'désolé arrivé']
271	16	271_kalle_göran_saucisson_léna	['kalle', 'göran', 'saucisson', 'léna', 'plan kalle', 'trésor', 'göran vestberg', 'vestberg', 'mellors', 'supposons']
272	16	272_flocon_désincorporation_hawthorne_vieille	['flocon', 'désincorporation', 'hawthorne', 'vieille', 'pension', 'conteur', 'rachat', 'adébenn', 'penn adébenn', 'dégoût yeux']
273	16	273_édouard_cédric_arche_crainte mêlée	['édouard', 'cédric', 'arche', 'crainte mêlée', 'maison autriche', 'noé', 'consigne', 'sorte crainte', 'mordécaï', 'autriche']
274	16	274_librairie champs_librairie_librairie champs élysées_adaptation représentation	['librairie champs', 'librairie', 'librairie champs élysées', 'adaptation représentation', 'adaptation représentation réservés', 'reproduction adaptation représentation', 'représentation réservés', 'contrôle cas', 'livre souffre', 'volumes collection']
275	16	275_veau petits_veau petits pois_kirsch_procacci	['veau petits', 'veau petits pois', 'kirsch', 'procacci', 'café', 'arrachais', 'mme procacci', 'tss', 'retire doucement', 'flacon kirsch']
276	16	276_police_jurgensen_combat_creyenna	['police', 'jurgensen', 'combat', 'creyenna', 'colombaud', 'flic', 'timovie', 'lvt', 'illégale', 'brandshaft']
277	16	277_émilie_photo_photos_skinner	['émilie', 'photo', 'photos', 'skinner', 'oncle', 'plankaert', 'bayview', 'quince quince', 'pain epice', 'epice']
278	16	278_lauzerte_hélix_irène_mé	['lauzerte', 'hélix', 'irène', 'mé', 'geneviève', 'azaïs', 'pirouettes', 'rené', 'pérouse', 'essex street']
279	16	279_gardella_scandura_thurston_roselli	['gardella', 'scandura', 'thurston', 'roselli', 'lança', 'lança gardella', 'taire fit', 'gardella faut', 'regard gardella', 'regard']
280	16	280_cow_fayolle_vache_porc	['cow', 'fayolle', 'vache', 'porc', 'cuirassier', 'pacotte', 'isel', 'moss', 'gogleth', 'dis']
281	16	281_phallocrates_timbres_jérémie_annonces	['phallocrates', 'timbres', 'jérémie', 'annonces', 'ans', 'abstenir', 'cave', 'timbres poste', 'maturité', 'bretonne']
282	16	282_masters_broehm_mittend_masters père	['masters', 'broehm', 'mittend', 'masters père', 'malevic', 'utgers', 'ints', 'glencairn', 'obdan', 'masters trouve']
283	16	283_avé_miramar_consul_dessert	['avé', 'miramar', 'consul', 'dessert', 'marmite soupe', 'chocolat', 'soupe', 'tipi', 'casserole', 'fête']
284	16	284_yudel_amnésie_bande_tricheurs	['yudel', 'amnésie', 'bande', 'tricheurs', 'créativité', 'chocolaté', 'tricheuses', 'profils', 'oa', 'gaws']
285	16	285_ruche_ruches_majats_kethiuy	['ruche', 'ruches', 'majats', 'kethiuy', 'guerriers', 'raen', 'bohrt', 'kontrin', 'ouvrier', 'faux bourdons']
286	16	286_nilssen_moustier_michèle_villojane	['nilssen', 'moustier', 'michèle', 'villojane', 'belfand', 'garron', 'gingivite', 'andré', 'cuzco', 'ambassade']
287	16	287_phœnix_geeking_calder_éditions phœnix	['phœnix', 'geeking', 'calder', 'éditions phœnix', 'laouedj', 'tests', 'entrepreneurs', 'secrétaire présidente', 'directeur adjoint', 'éditions']
288	16	288_bernstein_ondes cérébrales_cérébrales_weller	['bernstein', 'ondes cérébrales', 'cérébrales', 'weller', 'steinhardt', 'ondes', 'zeltveg', 'lecteur ondes cérébrales', 'lecteur ondes', 'fléau']
289	15	289_vorst_souvenirs_déconditionnement méditatif_déconditionnement	['vorst', 'souvenirs', 'déconditionnement méditatif', 'déconditionnement', 'méditatif', 'film', 'mésange', 'veux composer', 'closter', 'rencontrée semaine']
290	15	290_eléna_estafette_delman_âge	['eléna', 'estafette', 'delman', 'âge', 'apercevras', 'mélina', 'manosque', 'oncle écrit', 'drôlement raison', 'machinos']
291	15	291_baldridge_collège_pleurer fatigue_manqué chose	['baldridge', 'collège', 'pleurer fatigue', 'manqué chose', 'réunir affaires', '42 crew', 'crew', 'singerie', 'mère', '42']
